country,year,population
Mexico,2004,104970581
Mexico,2005,106370948
Mexico,2006,107885646
Mexico,2007,109538665
Mexico,2008,111275915
Mexico,2009,113030218
Mexico,2010,114756059
Mexico,2011,116446180
Mexico,2012,118060514
Mexico,2013,119597654
Mexico,2014,121048604
Mexico,2015,122368490
Mexico,2016,123587407
Mexico,2017,124777172
Mexico,2018,125995825
Mexico,2019,127215666
Mexico,2020,128209170
Mexico,2021,128982939
Mexico,2022,129960600
Mexico,2023,131135337
Mexico,2024,132274416
Mexico,2025,133367428
Netherlands,2000,15925505
Netherlands,2001,16046182
Netherlands,2002,16148921
Netherlands,2003,16225303
Netherlands,2004,16281777
Netherlands,2005,16319871
Netherlands,2006,16346096
Netherlands,2007,16381696
Netherlands,2008,16445590
Netherlands,2009,16530387
Netherlands,2010,16615390
Netherlands,2011,16693074
Netherlands,2012,16754963
Netherlands,2013,16804430
Netherlands,2014,16865008
Netherlands,2015,16939925
Netherlands,2016,17030314
Netherlands,2017,17131295
Netherlands,2018,17231622
Netherlands,2019,17344876
Netherlands,2020,17441500
Netherlands,2021,17533048
Netherlands,2022,17700981
Netherlands,2023,17877121
Netherlands,2024,17993486
Netherlands,2025,18087634
New Zealand,2000,3857700
New Zealand,2001,3880500
New Zealand,2002,3948500
New Zealand,2003,4027200
New Zealand,2004,4087500
New Zealand,2005,4133900
New Zealand,2006,4184600
New Zealand,2007,4223800
New Zealand,2008,4259800
New Zealand,2009,4302600
New Zealand,2010,4350700
New Zealand,2011,4384000
New Zealand,2012,4408100
New Zealand,2013,4442100
New Zealand,2014,4516500
New Zealand,2015,4609400
New Zealand,2016,4714100
New Zealand,2017,4813600
New Zealand,2018,4900600
New Zealand,2019,4970300
New Zealand,2020,5072400
New Zealand,2021,5084600
New Zealand,2022,5081700
New Zealand,2023,5200000
New Zealand,2024,5289900
New Zealand,2025,5320600
Norway,2000,4490973
Norway,2001,4513747
Norway,2002,4538157
Norway,2003,4564856
Norway,2004,4591909
Norway,2005,4623293
Norway,2006,4660673
Norway,2007,4709156
Norway,2008,4768215
Norway,2009,4828716
Norway,2010,4889253
Norway,2011,4953089
Norway,2012,5018574
Norway,2013,5080171
Norway,2014,5137427
Norway,2015,5189898
Norway,2016,5236152
Norway,2017,5276965
Norway,2018,5311916
Norway,2019,5347893
Norway,2020,5379472
Norway,2021,5408320
Norway,2022,5457129
Norway,2023,5519596
Norway,2024,5572273
Norway,2025,5610871
Spain,2000,40554387
Spain,2001,40766049
Spain,2002,41423520
Spain,2003,42196231
Spain,2004,42859172
Spain,2005,43662613
Spain,2006,44360521
Spain,2007,45236004
Spain,2008,45983169
Spain,2009,46367550
Spain,2010,46562483
Spain,2011,46736257
Spain,2012,46749303
Spain,2013,46581124
Spain,2014,46433050
Spain,2015,46384379
Spain,2016,46427100
Spain,2017,46510461
Spain,2018,46715383
Spain,2019,47087778
Spain,2020,47344852
Spain,2021,47346836
Spain,2022,47781354
Spain,2023,48320520
Spain,2024,48821936
Spain,2025,49355143
Sweden,2000,8869255
Sweden,2001,8894674
Sweden,2002,8924529
Sweden,2003,8956664
Sweden,2004,8992217
Sweden,2005,9024186
Sweden,2006,9082995
Sweden,2007,9142817
Sweden,2008,9215021
Sweden,2009,9292359
Sweden,2010,9373379
Sweden,2011,9446812
Sweden,2012,9514406
Sweden,2013,9596436
Sweden,2014,9694194
Sweden,2015,9793172
Sweden,2016,9906331
Sweden,2017,10053061
Sweden,2018,10171524
Sweden,2019,10281189
Sweden,2020,10352390
Sweden,2021,10409248
Sweden,2022,10487859
Sweden,2023,10545310
Sweden,2024,10553341
Sweden,2025,10592692
Switzerland,2000,7184250
Switzerland,2001,7226647
Switzerland,2002,7284754
Switzerland,2003,7339002
Switzerland,2004,7389626
Switzerland,2005,7437116
Switzerland,2006,7483935
Switzerland,2007,7551117
Switzerland,2008,7647676
Switzerland,2009,7743832
Switzerland,2010,7824910
Switzerland,2011,7912396
Switzerland,2012,7996861
Switzerland,2013,8089346
Switzerland,2014,8188646
Switzerland,2015,8282398
Switzerland,2016,8373334
Switzerland,2017,8451834
Switzerland,2018,8514327
Switzerland,2019,8575280
Switzerland,2020,8638169
Switzerland,2021,8704542
Switzerland,2022,8777085
Switzerland,2023,8888818
Switzerland,2024,9006644
Switzerland,2025,9087658
United Kingdom,2000,58886065
United Kingdom,2001,59113016
United Kingdom,2002,59365677
United Kingdom,2003,59636662
United Kingdom,2004,59950364
United Kingdom,2005,60413276
United Kingdom,2006,60826967
United Kingdom,2007,61319075
United Kingdom,2008,61823772
United Kingdom,2009,62260486
United Kingdom,2010,62759456
United Kingdom,2011,63285145
United Kingdom,2012,63710543
United Kingdom,2013,64138221
United Kingdom,2014,64618693
United Kingdom,2015,65086958
United Kingdom,2016,65605841
United Kingdom,2017,65964292
United Kingdom,2018,66286727
United Kingdom,2019,66627507
United Kingdom,2020,66739867
United Kingdom,2021,66977988
United Kingdom,2022,67636134
United Kingdom,2023,68526183
United Kingdom,2024,69281437
United Kingdom,2025,69502341
United States,2000,282162411
United States,2001,284968955
United States,2002,287625193
United States,2003,290107933
United States,2004,292805298
United States,2005,295516599
United States,2006,298379912
United States,2007,301231207
United States,2008,304093966
United States,2009,306771529
United States,2010,309378227
United States,2011,311839461
United States,2012,314339099
United States,2013,316726282
United States,2014,319257560
United States,2015,321815121
United States,2016,324353340
United States,2017,326608609
United States,2018,328529577
United States,2019,330226227
United States,2020,331578104
United States,2021,332100166
United States,2022,333996304
United States,2023,336755052
United States,2024,340003797
United States,2025,341784857
